parmy@fedora:~$ readelf -Ws libc-2.23.so

Symbol table '.dynsym' contains 2415 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
   191: 000e9d90   440 FUNC    GLOBAL DEFAULT   13 fgetspent@@GLIBC_2.0
   192: 00074e80   507 FUNC    GLOBAL DEFAULT   13 strsignal@@GLIBC_2.0
   193: 0008fff0   205 FUNC    WEAK   DEFAULT   13 wcsncpy@@GLIBC_2.0
   194: 00122150    69 FUNC    GLOBAL DEFAULT   13 getnetbyname_r@GLIBC_2.0
   195: 00074a40    66 IFUNC   GLOBAL DEFAULT   13 strncmp@@GLIBC_2.0
   196: 000f79f0   624 FUNC    GLOBAL DEFAULT   13 getnetbyname_r@@GLIBC_2.1.2
   197: 000f8180   181 FUNC    GLOBAL DEFAULT   13 getprotoent_r@@GLIBC_2.1.2
   198: 001115b0    17 FUNC    GLOBAL DEFAULT   13 svcfd_create@@GLIBC_2.0
   199: 000dfa40    36 FUNC    WEAK   DEFAULT   13 ftruncate@@GLIBC_2.0
   200: 001221f0    38 FUNC    GLOBAL DEFAULT   13 getprotoent_r@GLIBC_2.0
   201: 0007c980    44 FUNC    GLOBAL DEFAULT   13 __strncpy_gg@@GLIBC_2.1.1
   202: 00109e70   111 FUNC    GLOBAL DEFAULT   13 xdr_unixcred@@GLIBC_2.1
   203: 00026e60    47 FUNC    WEAK   DEFAULT   13 dcngettext@@GLIBC_2.2
   204: 00106dc0   109 FUNC    GLOBAL DEFAULT   13 xdr_rmtcallres@@GLIBC_2.0
   205: 0005f150   464 FUNC    GLOBAL DEFAULT   13 _IO_puts@@GLIBC_2.0
   206: 001015d0   250 FUNC    GLOBAL DEFAULT   13 inet_nsap_addr@@GLIBC_2.0
   207: 00100dd0   280 FUNC    WEAK   DEFAULT   13 inet_aton@@GLIBC_2.0
   208: 000e0650   185 FUNC    GLOBAL DEFAULT   13 ttyslot@@GLIBC_2.0
   209: 001b3884     4 OBJECT  GLOBAL DEFAULT   33 __rcmd_errstr@@GLIBC_2.0
   210: 000d1bb0    95 FUNC    GLOBAL DEFAULT   13 wordfree@@GLIBC_2.1
   211: 000d2b60   132 FUNC    GLOBAL DEFAULT   13 posix_spawn_file_actions_addclose@@GLIBC_2.2
   212: 000ac080    56 FUNC    GLOBAL DEFAULT   13 getdirentries@@GLIBC_2.0
   213: 0006b440    42 FUNC    GLOBAL DEFAULT   13 _IO_unsave_markers@@GLIBC_2.0
   214: 0006a5e0    55 FUNC    GLOBAL DEFAULT   13 _IO_default_uflow@@GLIBC_2.0
   215: 000315f0    43 FUNC    GLOBAL DEFAULT   13 __strtold_internal@@GLIBC_2.0
   216: 000f4530    86 FUNC    GLOBAL DEFAULT   13 __wcpcpy_chk@@GLIBC_2.4
   217: 001b0184     4 OBJECT  GLOBAL DEFAULT   32 optind@@GLIBC_2.0
   218: 0007ce70   177 FUNC    GLOBAL DEFAULT   13 __strcpy_small@@GLIBC_2.1.1
   219: 0002f740    45 FUNC    GLOBAL DEFAULT   13 erand48@@GLIBC_2.0
   220: 000921e0    43 FUNC    WEAK   DEFAULT   13 wcstoul_l@@GLIBC_2.3
   221: 000e5a10    38 FUNC    WEAK   DEFAULT   13 modify_ldt@@GLIBC_2.1
   222: 001b3790     4 OBJECT  GLOBAL DEFAULT   33 argp_program_version@@GLIBC_2.1
   223: 00070bb0    16 FUNC    GLOBAL DEFAULT   13 __libc_memalign@@GLIBC_2.0
   224: 000e6b00    75 FUNC    GLOBAL DEFAULT   13 isfdtype@@GLIBC_2.0
   225: 000debc0   118 FUNC    GLOBAL DEFAULT   13 getfsfile@@GLIBC_2.0
   226: 0007d000    53 FUNC    GLOBAL DEFAULT   13 __strcspn_c1@@GLIBC_2.1.1
   227: 0007d040    66 FUNC    GLOBAL DEFAULT   13 __strcspn_c2@@GLIBC_2.1.1
   228: 0002f890    36 FUNC    GLOBAL DEFAULT   13 lcong48@@GLIBC_2.0
   229: 000ae010   147 FUNC    GLOBAL DEFAULT   13 getpwent@@GLIBC_2.0
   230: 0007d090    88 FUNC    GLOBAL DEFAULT   13 __strcspn_c3@@GLIBC_2.1.1
   231: 000c8d90    48 FUNC    WEAK   DEFAULT   13 re_match_2@@GLIBC_2.0
   232: 00104530   271 FUNC    GLOBAL DEFAULT   13 __nss_next2@@GLIBC_PRIVATE
   233: 001b18b0     4 OBJECT  WEAK   DEFAULT   33 __free_hook@@GLIBC_2.0
   234: 000ace40   579 FUNC    GLOBAL DEFAULT   13 putgrent@@GLIBC_2.1
   235: 000f8ec0   181 FUNC    GLOBAL DEFAULT   13 getservent_r@@GLIBC_2.1.2
   236: 00078bc0    64 FUNC    WEAK   DEFAULT   13 argz_stringify@@GLIBC_2.0
   237: 00122310    38 FUNC    GLOBAL DEFAULT   13 getservent_r@GLIBC_2.0
   238: 000646b0   208 FUNC    GLOBAL DEFAULT   13 open_wmemstream@@GLIBC_2.4
   239: 000ff810   312 FUNC    GLOBAL DEFAULT   13 inet6_opt_append@@GLIBC_2.5
   240: 000f24b0    66 FUNC    WEAK   DEFAULT   13 clock_getcpuclockid@@GLIBC_2.17
